uria,lv,pi,ccs,pbcr,se,iraj,male,multi,condo,sfam,race,denied
3.599999905,0.751219512,35,3,0,0,0,1,0,0,1,0,0
2,0.90212766,37,1,0,0,0,1,0,0,1,0,0
4.300000191,0.847058824,34,1,0,0,1,1,0,0,1,0,0
3.900000095,0.473684211,38,1,0,0,0,1,0,1,0,0,0
3.099999905,0.687969925,44,1,0,0,1,1,0,0,1,0,0
3.200000048,0.75,21,2,0,0,1,1,1,0,0,0,0
4.300000191,0.897810219,35,2,0,0,1,1,0,0,1,1,0
3.099999905,0.880851064,38,1,0,0,1,1,0,0,1,0,0
3.099999905,0.919753086,37,1,0,0,1,1,0,0,1,0,0
3.200000048,0.893617021,32,5,0,0,0,1,1,0,0,1,0
3.900000095,0.936363636,37,1,0,0,1,1,0,0,1,0,0
2,0.642857143,41,1,0,0,0,1,0,1,0,0,0
3.200000048,1.47826087,35,1,0,0,1,1,0,0,1,0,1
3.200000048,0.72,41,3,0,0,1,1,0,0,1,0,1
2,0.675862069,56,1,0,0,0,1,0,0,1,1,1
3.099999905,0.677966102,34,6,1,0,0,0,0,0,1,0,0
3.200000048,0.9,29,2,0,0,1,1,0,0,1,0,0
10.60000038,0.910344828,33,1,0,0,0,1,1,0,0,1,0
3.200000048,0.8,27,6,1,0,0,1,0,0,1,0,1
3.200000048,0.853846154,37,1,0,0,0,0,0,0,1,1,0
3.900000095,0.741935484,34,1,0,1,0,1,0,0,1,0,1
5.300000191,0.949152542,30,6,0,0,0,1,0,0,1,1,1
4.300000191,0.941666667,62,1,0,0,0,1,0,0,1,1,1
1.799999952,0.9,36,1,0,0,0,1,1,0,0,0,0
3.900000095,0.946902655,39,3,0,0,0,1,0,0,1,1,1
3.200000048,0.946236559,39,2,0,0,0,0,0,0,1,1,0
3.099999905,0.675675676,36,2,0,0,0,1,0,0,1,0,0
3.200000048,0.643678161,34,5,0,0,0,0,0,0,1,0,0
2,0.941176471,27,1,0,0,0,1,0,0,1,0,0
3.200000048,0.732484076,16,1,0,0,0,1,0,0,1,0,0
3.099999905,0.592727273,29,1,0,0,0,1,1,0,0,0,0
1.799999952,0.909090909,30,1,0,0,0,1,1,0,0,1,0
3.099999905,0.913580247,39,1,0,0,0,1,0,0,1,0,0
3.900000095,0.8,48,6,1,0,0,1,1,0,0,0,1
3.200000048,0.207142857,36,5,0,0,0,1,0,0,1,0,0
3.200000048,0.93442623,31.39999962,1,1,0,0,1,0,0,1,0,0
3.900000095,0.903448276,34,1,1,0,0,1,0,0,1,0,0
10.60000038,0.902439024,33.20000076,2,0,0,0,1,0,0,1,0,0
4.300000191,0.636942675,33,1,0,1,0,0,0,0,1,0,0
10.60000038,0.769230769,39.90000153,1,0,0,1,1,0,1,0,0,0
3.200000048,0.75,34.20000076,1,0,0,0,1,0,0,1,0,0
3.200000048,0.8,37.59999847,2,0,0,1,0,0,1,0,0,0
4.300000191,0.888888889,32.09999847,1,0,0,0,1,0,1,0,0,0
5.300000191,0.751879699,27.89999962,1,0,0,1,1,0,0,1,0,0
3.200000048,0.894039735,31.70000076,2,0,0,1,1,0,0,1,0,0
3.900000095,0.65,28.5,1,0,1,0,1,0,0,1,1,0
3.099999905,0.940397351,36.5,2,0,0,0,1,0,0,1,0,0
3.200000048,0.425531915,33.70000076,4,0,0,0,0,0,0,1,0,0
3.200000048,0.678571429,35,1,0,0,1,0,0,1,0,0,0
3.200000048,0.884615385,35.20000076,2,0,0,1,0,0,1,0,0,0
3.200000048,0.939189189,35,1,0,0,0,0,0,0,1,0,0
3.099999905,0.902439024,34.40000153,1,0,0,0,1,0,0,1,0,0
3.200000048,0.797101449,17.10000038,1,0,1,0,1,0,1,0,1,0
3.200000048,0.738255034,28,1,0,0,1,1,0,0,1,0,0
3.900000095,0.902564103,70,1,0,0,0,1,1,0,0,0,1
4.300000191,0.8994709,37.79999924,2,0,0,0,1,0,0,1,0,0
5.300000191,0.677966102,25.79999924,2,0,0,1,1,0,0,1,0,0
10.60000038,0.802197802,21.79999924,2,0,1,1,1,0,0,1,0,0
3.099999905,0.553072626,23,1,0,0,0,1,0,0,1,0,0
3.200000048,0.651567944,28.5,1,0,0,1,1,0,0,1,0,0
4.300000191,0.835164835,26.5,2,1,0,0,1,0,0,1,0,1
5.300000191,0.784313726,36,1,0,0,0,1,0,1,0,0,0
2,0.666666667,27.20000076,1,0,0,0,1,0,0,1,0,0
3.200000048,0.801136364,36,2,0,1,1,1,0,1,0,0,0
3.200000048,0.882352941,31,4,0,0,0,1,0,0,1,1,1
4.300000191,0.902985075,35.90000153,2,0,0,0,1,0,0,1,0,1
3.200000048,0.660377359,39.70000076,2,0,0,1,1,0,0,1,0,0
10.60000038,0.746753247,34,2,0,1,0,1,0,0,1,0,0
4.300000191,0.767676768,21.89999962,2,0,0,0,1,0,0,1,1,1
4.300000191,0.85,32,1,0,0,1,0,0,0,1,0,0
4.300000191,0.948148148,32,1,0,0,0,1,0,0,1,0,0
2,0.434782609,28,1,0,0,0,1,0,0,1,0,0
2,0.888111888,38.79999924,3,0,0,1,1,0,0,1,1,1
3.200000048,0.782608696,25,1,0,0,1,0,0,1,0,0,0
10.60000038,0.8,34,1,0,0,0,1,0,0,1,0,0
3.200000048,0.730593607,32,2,0,0,1,1,0,0,1,0,0
10.60000038,0.929133858,33,2,1,0,0,1,0,0,1,1,1
1.799999952,0.792207792,31.20000076,1,0,1,1,1,0,0,1,0,0
4.300000191,0.580246914,33,1,0,0,0,1,0,1,0,0,0
3.200000048,0.636363636,32,2,0,0,0,1,0,0,1,0,0
10.60000038,0.876470588,38,2,0,0,0,1,0,0,1,0,0
2,0.796992481,32,1,0,0,1,1,0,0,1,0,0
4.300000191,0.922222222,23,1,0,0,0,1,0,0,1,0,0
4.300000191,0.751269036,27,2,0,0,1,1,0,0,1,0,0
1.799999952,0.666666667,31.39999962,5,0,0,0,0,0,0,1,0,0
3.900000095,0.851851852,35,3,0,0,1,1,0,0,1,0,0
3.200000048,0.743362832,32,2,0,1,1,0,0,0,1,0,0
3.900000095,0.8,35.79999924,1,0,0,1,1,0,0,1,0,0
3.900000095,0.9296875,35,1,0,0,0,1,0,0,1,0,1
3.099999905,0.922535211,34,3,0,0,0,0,0,0,1,0,0
10.60000038,0.8,31,2,0,1,1,1,0,0,1,0,0
3.099999905,0.703225807,29,3,0,0,0,1,0,0,1,0,0
10.60000038,0.555555556,61,1,0,0,0,1,0,0,1,0,1
3.200000048,0.625407166,26.29999924,1,0,0,0,1,0,0,1,0,0
4.300000191,0.687022901,26.20000076,2,0,0,0,1,0,0,1,0,0
3.200000048,0.7875,36,1,0,0,1,1,0,0,1,0,0
4.300000191,1.105555556,46,2,0,1,1,1,0,0,1,0,1
3.200000048,0.666666667,30.5,1,0,0,0,1,0,0,1,0,0
3.900000095,0.506666667,38.40000153,2,0,0,0,1,0,0,1,0,0
10.60000038,0.78817734,26.39999962,1,0,1,0,1,0,0,1,0,0
3.200000048,0.302325581,33,1,0,0,0,1,0,0,1,0,0
3.200000048,0.89261745,47,3,0,1,0,0,0,0,1,1,1
1.799999952,0.738888889,19,1,0,0,0,1,0,0,1,0,0
4.300000191,0.894736842,30,4,0,0,0,1,0,0,1,0,0
3.900000095,0.738636364,36,1,0,0,0,1,0,0,1,0,0
3.900000095,0.7,33,1,0,0,0,0,0,0,1,0,0
3.099999905,0.736842105,23,1,0,0,0,1,0,1,0,0,0
3.200000048,0.9,29,1,0,0,0,0,0,0,1,1,0
3.200000048,0.8,41,3,0,0,0,1,0,0,1,0,0
1.799999952,0.950617284,36,2,0,0,0,0,0,0,1,0,0
1.799999952,0.694594595,41,1,0,0,0,1,0,0,1,0,1
5.300000191,0.681818182,33,1,0,0,0,1,0,0,1,0,0
1.799999952,0.571428571,29,6,1,0,0,0,0,1,0,0,1
3.099999905,0.786786787,41,1,0,0,0,1,0,0,1,0,0
3.599999905,0.89787234,33,1,0,0,0,1,0,0,1,0,0
3.200000048,0.889175258,23,1,0,0,0,0,0,0,1,0,0
1.799999952,0.708955224,23,6,1,0,0,1,1,0,0,0,1
3.200000048,0.717037037,39,1,0,1,0,1,0,0,1,0,0
3.200000048,0.798469388,39,5,0,1,0,1,0,0,1,0,0
3.200000048,0.8,27,1,0,0,0,1,0,0,1,0,0
4.300000191,0.8,38.40000153,1,0,1,1,1,0,1,0,0,0
3.900000095,0.804123711,38.20000076,6,0,0,1,1,0,1,0,1,0
3.200000048,0.581300813,37,1,0,0,0,1,0,0,1,0,0
3.200000048,0.781914894,32.5,4,0,0,1,1,0,1,0,0,0
3.200000048,0.642857143,39.79999924,1,0,0,1,1,0,0,1,0,0
3.200000048,0.8,39.5,2,0,0,1,1,0,1,0,0,0
3.200000048,0.74893617,40.70000076,1,0,0,0,1,0,1,0,0,0
1.799999952,0.779069767,30.10000038,1,0,0,1,0,0,1,0,0,0
3.200000048,0.9,36.5,1,0,0,1,1,0,0,1,0,0
3.200000048,0.797752809,26.60000038,1,0,0,0,0,0,1,0,0,0
1.799999952,0.8,31.89999962,1,0,0,0,1,1,0,0,0,0
3.200000048,0.894736842,26.79999924,1,0,0,1,1,0,1,0,0,0
3.900000095,0.798780488,26.89999962,1,0,0,1,1,0,1,0,0,0
3.200000048,0.887850467,40.90000153,6,0,0,0,1,0,0,1,1,0
3.200000048,0.581395349,30.79999924,6,0,0,1,1,0,0,1,0,0
3.200000048,0.666666667,31.10000038,5,0,0,0,0,0,1,0,0,0
3.900000095,0.751173709,27.70000076,5,0,1,0,1,1,0,0,0,0
1.799999952,0.862745098,36,1,0,0,1,1,0,1,0,1,0
3.200000048,0.866666667,38,3,0,0,1,1,0,1,0,1,0
3.099999905,0.583333333,21,4,0,0,1,1,0,1,0,1,0
3.200000048,0.813333333,39,2,0,0,1,1,0,0,1,0,0
3.200000048,0.912162162,37,1,0,0,1,0,1,0,0,1,0
3.099999905,0.662337662,25,1,0,0,0,1,0,1,0,1,0
3.200000048,0.9,36,1,0,0,1,0,1,0,0,1,0
3.599999905,0.883928571,39,1,0,0,1,1,0,1,0,1,0
3.200000048,0.732307692,32,1,0,0,0,1,0,0,1,0,0
5.300000191,0.314814815,18,1,0,0,0,1,0,0,1,0,0
1.799999952,0.379807692,34,6,0,0,0,1,0,0,1,0,0
3.099999905,0.868965517,32.79999924,1,0,0,1,0,0,1,0,1,0
4.300000191,0.886010363,37.33000183,1,0,0,1,1,1,0,0,1,0
3.200000048,0.987951807,38.38000107,6,0,0,1,1,0,1,0,1,1
3.200000048,0.902564103,37.66999817,3,0,0,1,1,1,0,0,1,0
3.200000048,0.9,33.79999924,6,0,0,1,1,0,1,0,1,0
3.200000048,0.4675,28.10000038,1,0,0,0,1,0,0,1,0,0
3.099999905,0.55,33.38999939,6,0,0,1,1,1,0,0,0,0
4.300000191,0.902255639,39.22999954,6,1,0,0,1,0,1,0,1,1
3.200000048,0.471380471,36.29999924,1,0,0,0,1,0,0,1,0,0
2,0.311111111,24.57999992,1,0,0,0,1,0,0,1,0,0
3.200000048,0.797297297,38.20999908,1,0,0,0,1,0,0,1,0,0
3.599999905,0.735294118,37,5,0,0,0,1,1,0,0,0,0
2,0.65,32,1,0,0,0,1,0,0,1,0,0
2,0.65,28.60000038,5,0,0,1,1,0,1,0,1,0
1.799999952,0.555555556,26.60000038,2,0,0,0,1,0,0,1,0,0
3.200000048,0.90131579,31.5,1,0,0,0,1,0,0,1,1,0
3.599999905,0.47826087,30.46999931,1,0,0,0,1,0,0,1,1,0
3.200000048,0.902857143,33.79999924,1,0,0,0,1,0,0,1,0,0
3.200000048,0.894736842,47.20000076,1,0,0,1,1,1,0,0,1,0
3.200000048,0.651785714,36.59999847,1,0,0,1,1,0,1,0,0,0
3.200000048,0.593220339,37.09999847,1,0,1,1,1,0,1,0,1,0
3.599999905,0.315581854,38.09999847,1,0,0,0,1,0,0,1,0,0
3.200000048,0.909090909,36.5,1,0,0,1,1,1,0,0,1,0
3.900000095,0.898550725,35,1,0,0,1,1,0,1,0,1,0
5.300000191,0.952380952,34,2,0,0,1,1,0,0,1,1,0
3.200000048,0.766666667,35,1,0,0,0,1,1,0,0,1,0
3.599999905,0.891089109,26.52000046,6,0,0,0,1,0,0,1,0,0
3.200000048,0.9,35,2,0,0,0,1,0,0,1,0,0
3.200000048,0.902255639,39,6,0,0,1,1,0,1,0,1,1
4.300000191,0.779661017,39,2,0,1,0,1,0,0,1,0,1
3.099999905,0.402173913,30,1,0,0,0,1,0,0,1,0,0
1.799999952,0.709090909,29,1,0,0,0,1,0,0,1,0,0
5.300000191,0.792207792,19,1,0,0,0,1,0,0,1,1,0
3.599999905,0.80148423,35,1,0,0,1,1,0,1,0,0,0
2,0.833333333,39,1,0,0,1,1,0,0,1,0,0
3.200000048,0.847058824,35,1,0,0,1,0,1,0,0,1,0
3.900000095,0.903703704,36,6,0,0,1,1,0,0,1,1,0
1.799999952,0.736111111,26,1,0,0,1,0,0,1,0,0,0
3.200000048,0.7421875,36,1,0,0,0,1,0,1,0,0,0
3.900000095,0.774011299,27,1,0,0,0,1,0,0,1,0,0
3.099999905,0.8,35.70000076,5,0,0,1,1,0,1,0,0,0
3.099999905,0.883495146,30,1,0,0,1,1,0,1,0,1,0
3.200000048,0.857923497,35,2,0,0,1,1,1,0,0,1,0
2,0.905660377,39,1,0,0,1,0,0,1,0,1,0
1.799999952,0.897959184,31,1,0,0,1,1,0,0,1,0,0
3.200000048,0.5625,43,2,0,1,1,1,0,1,0,0,1
3.200000048,0.531468532,40,6,1,0,1,1,0,0,1,1,1
3.099999905,0.883928571,34,6,0,0,1,0,0,0,1,1,0
3.599999905,0.338164251,23,1,0,0,0,1,0,0,1,0,1
3.200000048,0.456273764,73,1,0,1,0,1,0,0,1,0,1
2,0.577235772,38,1,0,0,1,0,0,1,0,1,0
3.099999905,0.608,38.29999924,1,0,0,1,0,0,1,0,1,0
10.60000038,0.897196262,32,1,0,0,1,1,0,1,0,0,0
3.900000095,0.852173913,29.29999924,1,0,0,1,1,0,0,1,0,0
1.799999952,0.256410256,24.03000069,1,0,0,0,1,0,1,0,0,0
3.200000048,0.727777778,19.39999962,2,0,0,0,1,0,1,0,0,0
1.799999952,0.573770492,29.39999962,6,0,0,1,0,0,1,0,1,0
3.200000048,0.608,38.20000076,2,0,0,1,0,0,1,0,1,0
3.200000048,0.608,37.97999954,6,0,1,1,1,0,1,0,1,0
3.200000048,0.809859155,33.59000015,1,0,0,1,0,0,0,1,1,0
3.900000095,0.608,39.02999878,6,0,0,1,0,0,1,0,1,0
3.900000095,0.8,39.27999878,6,0,0,1,1,0,1,0,1,0
3.200000048,0.995238095,35.40000153,3,0,0,0,1,1,0,0,1,0
3.599999905,0.690140845,20,6,0,0,1,0,1,0,0,1,0
3.599999905,0.826086957,28,5,0,0,0,1,0,0,1,0,0
3.200000048,0.795698925,33,6,0,0,1,0,1,0,0,1,0
3.599999905,0.896825397,31,1,0,0,1,1,0,0,1,0,0
3.900000095,0.889655172,33.40000153,1,0,0,1,1,0,0,1,1,0
3.900000095,0.892473118,29,1,0,0,1,0,0,1,0,1,0
3.099999905,0.824427481,36.77999878,1,0,0,0,0,1,0,0,1,0
5.300000191,0.951807229,30.09000015,1,0,0,0,1,1,0,0,1,0
1.799999952,0.745762712,33.09000015,1,0,0,0,0,0,1,0,0,0
2,0.933333333,33.68999863,1,0,0,0,0,0,0,1,1,0
4.300000191,0.94972067,31.43000031,4,0,0,0,1,1,0,0,1,1
10.60000038,0.861244019,34.22999954,1,0,0,0,1,0,0,1,0,0
3.900000095,0.954545455,30.27000046,5,0,0,0,1,0,0,1,1,1
3.200000048,0.92631579,31.98999977,1,0,0,0,1,0,0,1,1,0
10.60000038,0.40131579,35.79999924,5,0,0,0,1,0,1,0,1,1
3.099999905,0.79245283,31.90999985,1,0,0,0,1,0,1,0,0,0
4.300000191,0.688073395,24.62999916,1,0,0,0,1,0,1,0,0,0
10.60000038,0.753488372,28.60000038,2,0,1,1,1,0,0,1,0,0
3.200000048,0.79787234,27,6,0,0,1,1,0,0,1,0,0
4.300000191,0.9,28.20000076,2,0,1,1,0,0,0,1,0,0
3.200000048,0.651724138,36,1,0,0,1,0,1,0,0,1,0
1.799999952,0.564796905,32.43999863,1,0,1,1,0,0,1,0,0,0
3.900000095,0.737967914,34.79999924,2,0,1,1,0,0,0,1,0,0
1.799999952,0.479233227,29.60000038,4,0,0,1,0,0,1,0,0,0
3.099999905,0.9,29.62999916,2,0,0,1,1,1,0,0,0,0
3.099999905,0.777142857,31.39999962,4,0,0,1,1,0,0,1,1,0
3.200000048,0.532258065,31.97999954,5,0,0,1,1,0,0,1,0,0
3.200000048,0.407843137,40.00999832,1,0,1,1,1,0,0,1,0,0
2,0.748502994,27.62999916,2,0,0,1,1,0,0,1,0,0
3.900000095,0.748091603,35.24000168,2,0,0,0,0,0,0,1,0,0
3.099999905,0.796934866,31.67000008,2,0,0,1,1,1,0,0,0,0
1.799999952,0.693069307,12.38000011,1,0,0,1,1,0,0,1,0,0
3.099999905,1.908333333,34,1,0,0,1,0,0,1,0,0,0
10.60000038,0.612244898,14,2,0,1,1,1,1,0,0,0,0
10.60000038,0.516129032,21.15999985,1,0,1,0,1,0,0,1,0,0
2,0.8,16.0699997,2,0,0,1,1,1,0,0,0,0
10.60000038,0.533333333,27.79999924,1,0,1,1,1,1,0,0,0,0
1.799999952,0.471177945,28.26000023,1,0,0,0,1,0,0,1,0,0
3.200000048,0.740740741,28.89999962,1,0,0,0,1,0,0,1,0,0
3.900000095,0.8,28.46999931,2,0,1,1,1,1,0,0,0,0
10.60000038,0.771276596,30,5,0,0,1,1,0,0,1,0,0
3.099999905,0.735930736,36,3,0,0,1,1,0,0,1,0,0
3.900000095,0.564102564,32,1,0,0,0,1,0,0,1,0,0
3.200000048,0.6875,32,1,0,0,1,1,0,0,1,0,1
3.200000048,0.735714286,26,5,0,0,1,1,0,0,1,0,0
3.599999905,0.70754717,26,2,0,0,1,0,0,0,1,0,0
1.799999952,0.794444444,32,2,0,1,0,0,0,1,0,0,1
3.200000048,0.8,42,3,1,0,1,0,0,0,1,1,0
1.799999952,0.643410853,34,5,0,0,1,1,0,1,0,0,0
3.099999905,0.87755102,37,1,0,0,1,1,0,0,1,0,0
2,0.592592593,29,1,0,0,1,1,0,0,1,0,0
1.799999952,0.72,35,1,0,0,1,0,0,0,1,0,0
3.200000048,0.861111111,31,1,0,0,0,0,1,0,0,0,0
4.300000191,0.8,40,1,0,0,0,1,0,1,0,0,0
3.200000048,0.92631579,36,1,0,0,1,0,0,1,0,0,0
3.900000095,0.704545455,38,1,0,0,1,1,0,0,1,0,0
2,0.577777778,37,1,0,0,1,1,0,0,1,0,0
1.799999952,0.705660377,41,1,0,0,1,1,0,0,1,0,0
3.200000048,0.277777778,32,1,0,0,1,0,0,1,0,0,0
4.300000191,0.946236559,33,1,0,0,1,1,0,0,1,0,0
10.60000038,0.817647059,33,1,0,0,1,1,0,0,1,0,0
3.099999905,0.876923077,38,1,0,0,1,1,1,0,0,1,0
3.200000048,0.3125,29,1,0,0,1,0,0,0,1,0,0
1.799999952,0.8,30,1,0,0,0,1,1,0,0,0,0
3.200000048,0.340909091,37,6,0,1,1,1,0,0,1,0,0
5.300000191,0.898809524,36,6,1,0,1,1,0,0,1,0,0
3.599999905,0.764705882,37,1,0,0,1,0,0,0,1,0,0
5.300000191,0.529411765,30,1,0,0,0,0,0,0,1,0,0
3.599999905,0.811764706,34,1,0,0,1,0,0,0,1,0,0
3.200000048,0.75,42,2,0,1,1,0,0,0,1,0,0
3.200000048,0.8,8,5,0,0,1,0,1,0,0,0,0
3.200000048,0.111111111,20,1,0,0,0,1,0,1,0,0,0
3.099999905,0.533333333,30,2,0,0,0,1,0,0,1,0,0
4.300000191,0.752380952,31,6,1,0,0,1,1,0,0,0,0
3.200000048,0.934375,38,2,0,0,1,1,0,0,1,0,0
5.300000191,0.921212121,34,6,0,0,0,1,0,0,1,0,0
3.200000048,0.900621118,32,2,0,0,0,1,0,0,1,1,0
4.300000191,0.667857143,29,1,0,1,0,1,0,0,1,0,0
3.099999905,0.916666667,32,1,0,0,1,1,0,0,1,0,0
3.200000048,0.923076923,38,1,0,0,1,1,0,0,1,1,0
3.200000048,0.94375,36,2,0,0,0,0,0,0,1,0,0
3.200000048,0.652173913,41,1,0,0,0,1,0,0,1,0,0
1.799999952,0.474452555,32,1,0,0,1,1,0,1,0,0,0
10.60000038,0.824,38,1,0,0,1,1,0,0,1,1,0
3.599999905,0.485074627,20,3,0,0,1,0,0,1,0,0,0
3.099999905,0.884615385,41,2,1,0,0,1,1,0,0,0,1
3.099999905,0.801724138,30,1,0,0,1,1,1,0,0,0,0
3.200000048,0.755555556,31,1,0,0,0,1,1,0,0,0,0
3.099999905,0.923076923,28,4,0,0,0,1,0,0,1,0,0
3.099999905,0.555555556,25,4,0,0,1,1,0,0,1,0,0
3.200000048,0.575384615,29,1,0,0,0,1,0,0,1,0,0
3.200000048,0.915584416,49,2,0,0,0,0,0,0,1,0,1
3.099999905,0.889473684,33,1,0,0,0,1,0,0,1,0,0
3.099999905,0.801587302,45,2,0,0,1,1,0,0,1,0,0
4.300000191,0.922580645,41,1,0,0,0,1,0,0,1,0,1
3.099999905,0.838709677,35,1,0,0,0,1,0,0,1,0,0
3.900000095,0.350877193,35,2,0,0,0,1,0,0,1,0,0
3.900000095,0.732984293,8,1,0,1,0,1,0,0,1,0,0
4.300000191,0.503703704,25,1,0,0,0,1,0,0,1,0,0
4.300000191,0.726666667,48,1,0,0,1,1,0,0,1,0,0
1.799999952,1.465116279,36,1,0,1,1,1,0,1,0,0,0
10.60000038,0.84057971,32,1,0,0,1,1,0,0,1,0,0
10.60000038,0.843881857,27,1,0,0,1,1,0,0,1,0,0
3.200000048,0.793103448,34,1,0,0,1,1,0,0,1,0,0
3.599999905,1.035714286,19.87000084,1,0,0,1,1,1,0,0,0,0
3.200000048,0.784671533,33,6,1,0,1,1,0,0,1,0,0
3.200000048,0.628571429,28,1,1,0,1,1,0,0,1,0,0
3.200000048,0.898876405,34,2,0,0,0,1,0,0,1,0,0
3.200000048,0.756164384,37,1,0,0,1,1,0,0,1,0,0
3.200000048,0.734567901,30,4,0,0,0,1,0,0,1,0,0
1.799999952,0.68877551,36,1,0,0,0,1,0,0,1,0,0
3.599999905,0.501432665,35.50999832,3,0,1,1,1,0,0,1,0,0
3.200000048,0.731428571,25,2,0,1,0,1,0,0,1,0,0
1.799999952,0.34965035,14,4,0,0,0,1,0,0,1,0,0
10.60000038,0.416666667,44,1,0,1,0,1,0,1,0,0,0
3.200000048,1.148148148,45,1,0,0,0,1,0,0,1,0,0
10.60000038,0.802469136,37,1,0,1,1,1,0,0,1,0,0
4.300000191,0.797402597,34,1,0,0,0,1,0,0,1,0,0
3.099999905,0.786982249,27.04000092,3,0,0,1,1,0,1,0,0,0
5.300000191,0.635359116,23,2,0,0,0,1,0,0,1,0,0
3.200000048,0.946564886,34,1,0,0,0,1,0,0,1,0,0
5.300000191,0.727891157,33,2,0,0,0,0,0,0,1,0,0
3.200000048,0.785714286,37.5,1,0,0,0,0,0,0,1,0,0
2,0.773684211,33.5699997,1,0,0,0,1,0,0,1,0,0
3.200000048,0.628571429,27.79000092,1,0,0,1,1,0,0,1,0,0
3.599999905,0.488888889,41,1,0,0,1,1,0,0,1,0,0
3.200000048,0.516666667,36.29000092,1,0,0,0,1,0,0,1,0,0
3.099999905,0.782352941,30.87999916,1,0,0,0,1,0,0,1,0,0
4.300000191,0.718518519,36.59999847,1,0,0,0,1,0,0,1,0,0
4.300000191,0.875912409,31.48999977,1,0,0,0,0,0,0,1,0,0
3.599999905,0.80952381,27.52000046,1,0,0,0,1,0,1,0,0,0
5.300000191,0.503875969,35,3,0,0,1,1,0,0,1,0,0
3.599999905,0.714285714,33.27000046,1,0,0,0,1,0,0,1,0,0
10.60000038,0.469483568,32,3,0,0,1,1,0,0,1,0,0
3.200000048,0.783333333,26.42000008,1,0,0,0,1,0,1,0,0,1
10.60000038,0.5,33.97000122,2,0,0,0,1,0,0,1,0,1
10.60000038,0.5,33.97000122,2,0,0,0,0,0,0,1,0,1
3.599999905,0.718518519,36.06000137,1,0,0,1,1,0,0,1,0,0
1.799999952,0.884057971,37.68000031,1,0,1,0,1,0,0,1,0,0
3.200000048,0.861538462,30.10000038,2,0,0,0,1,0,0,1,1,0
3.200000048,0.75,54,4,0,0,1,1,0,0,1,0,0
3.099999905,0.623493976,35.09999847,4,0,0,1,1,0,0,1,0,0
3.099999905,0.919230769,38.90000153,6,0,0,0,1,0,1,0,0,0
3.200000048,0.794044665,43,6,0,1,1,0,0,0,1,0,1
3.900000095,0.798004988,43,2,1,1,1,1,0,0,1,0,1
10.60000038,0.658064516,15,6,0,0,0,1,0,0,1,0,0
4.300000191,0.895833333,34,1,0,0,0,1,0,0,1,0,0
1.799999952,0.7,31,2,0,0,0,0,0,1,0,0,0
3.200000048,0.911392405,37,2,0,0,0,1,0,0,1,0,0
5.300000191,0.883211679,31,1,0,0,1,1,0,0,1,0,0
3.200000048,0.894736842,30,1,0,0,0,1,0,1,0,0,0
